18:00:43.447216 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 147696:150592, ack 1, win 58, options [nop,nop,TS val 28020873 ecr 28020873], length 2896
18:00:43.449906 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 150592:153488, ack 1, win 58, options [nop,nop,TS val 28020874 ecr 28020873], length 2896
18:00:43.452598 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 153488:156384, ack 1, win 58, options [nop,nop,TS val 28020875 ecr 28020874], length 2896
18:00:43.455290 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 156384:159280, ack 1, win 58, options [nop,nop,TS val 28020875 ecr 28020875], length 2896
18:00:43.457981 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 159280:162176, ack 1, win 58, options [nop,nop,TS val 28020876 ecr 28020875], length 2896
18:00:43.460673 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [P.], seq 162176:165072, ack 1, win 58, options [nop,nop,TS val 28020876 ecr 28020876], length 2896
18:00:43.463365 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 165072:167968, ack 1, win 58, options [nop,nop,TS val 28020877 ecr 28020876], length 2896
18:00:43.466056 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 167968:170864, ack 1, win 58, options [nop,nop,TS val 28020878 ecr 28020877], length 2896
18:00:43.468747 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 170864:173760, ack 1, win 58, options [nop,nop,TS val 28020878 ecr 28020878], length 2896
18:00:43.471439 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 173760:176656, ack 1, win 58, options [nop,nop,TS val 28020879 ecr 28020878], length 2896
18:00:43.474131 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 176656:179552, ack 1, win 58, options [nop,nop,TS val 28020880 ecr 28020879], length 2896
18:00:43.476822 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 179552:182448, ack 1, win 58, options [nop,nop,TS val 28020880 ecr 28020880], length 2896
18:00:43.479514 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 182448:185344, ack 1, win 58, options [nop,nop,TS val 28020881 ecr 28020880], length 2896
18:00:43.482206 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 185344:188240, ack 1, win 58, options [nop,nop,TS val 28020882 ecr 28020881], length 2896
18:00:43.484897 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 188240:191136, ack 1, win 58, options [nop,nop,TS val 28020883 ecr 28020882], length 2896
18:00:43.487588 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 191136:194032, ack 1, win 58, options [nop,nop,TS val 28020883 ecr 28020883], length 2896
18:00:43.490280 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 194032:196928, ack 1, win 58, options [nop,nop,TS val 28020884 ecr 28020883], length 2896
18:00:43.492971 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 196928:199824, ack 1, win 58, options [nop,nop,TS val 28020885 ecr 28020884], length 2896
18:00:43.495663 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 199824:202720, ack 1, win 58, options [nop,nop,TS val 28020885 ecr 28020885], length 2896
18:00:43.498354 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 202720:205616, ack 1, win 58, options [nop,nop,TS val 28020886 ecr 28020885], length 2896
18:00:43.501046 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 205616:208512, ack 1, win 58, options [nop,nop,TS val 28020887 ecr 28020886], length 2896
18:00:43.503738 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 208512:211408, ack 1, win 58, options [nop,nop,TS val 28020887 ecr 28020887], length 2896
18:00:43.506429 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 211408:214304, ack 1, win 58, options [nop,nop,TS val 28020888 ecr 28020887], length 2896
18:00:43.509121 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 214304:217200, ack 1, win 58, options [nop,nop,TS val 28020889 ecr 28020888], length 2896
18:00:43.511812 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 217200:220096, ack 1, win 58, options [nop,nop,TS val 28020889 ecr 28020889], length 2896
18:00:43.514504 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 220096:222992, ack 1, win 58, options [nop,nop,TS val 28020890 ecr 28020889], length 2896
18:00:43.517195 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 222992:225888, ack 1, win 58, options [nop,nop,TS val 28020891 ecr 28020890], length 2896
18:00:43.519887 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 225888:228784, ack 1, win 58, options [nop,nop,TS val 28020891 ecr 28020891], length 2896
18:00:43.522579 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 228784:231680, ack 1, win 58, options [nop,nop,TS val 28020892 ecr 28020891], length 2896
18:00:43.525270 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 231680:234576, ack 1, win 58, options [nop,nop,TS val 28020893 ecr 28020892], length 2896
18:00:43.527962 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 234576:237472, ack 1, win 58, options [nop,nop,TS val 28020893 ecr 28020893], length 2896
18:00:43.530654 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 237472:240368, ack 1, win 58, options [nop,nop,TS val 28020894 ecr 28020893], length 2896
18:00:43.533345 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 240368:243264, ack 1, win 58, options [nop,nop,TS val 28020895 ecr 28020894], length 2896
18:00:43.536036 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 243264:246160, ack 1, win 58, options [nop,nop,TS val 28020895 ecr 28020895], length 2896
