17:41:19.627437 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 222992:225888, ack 1, win 58, options [nop,nop,TS val 27729921 ecr 27729920], length 2896
17:41:19.629860 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 225888:228784, ack 1, win 58, options [nop,nop,TS val 27729921 ecr 27729921], length 2896
17:41:19.632282 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 228784:231680, ack 1, win 58, options [nop,nop,TS val 27729922 ecr 27729921], length 2896
17:41:19.634705 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 231680:234576, ack 1, win 58, options [nop,nop,TS val 27729922 ecr 27729922], length 2896
17:41:19.637127 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 234576:237472, ack 1, win 58, options [nop,nop,TS val 27729923 ecr 27729922], length 2896
17:41:19.639549 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 237472:240368, ack 1, win 58, options [nop,nop,TS val 27729924 ecr 27729923], length 2896
17:41:19.641972 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 240368:243264, ack 1, win 58, options [nop,nop,TS val 27729924 ecr 27729924], length 2896
17:41:19.644394 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 243264:246160, ack 1, win 58, options [nop,nop,TS val 27729925 ecr 27729924], length 2896
17:41:19.646817 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 246160:249056, ack 1, win 58, options [nop,nop,TS val 27729925 ecr 27729925], length 2896
17:41:19.649239 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 249056:251952, ack 1, win 58, options [nop,nop,TS val 27729926 ecr 27729925], length 2896
17:41:19.651661 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 251952:254848, ack 1, win 58, options [nop,nop,TS val 27729927 ecr 27729926], length 2896
17:41:19.654084 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 254848:257744, ack 1, win 58, options [nop,nop,TS val 27729927 ecr 27729927], length 2896
17:41:19.656506 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 257744:260640, ack 1, win 58, options [nop,nop,TS val 27729928 ecr 27729927], length 2896
17:41:19.658929 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [P.], seq 260640:263536, ack 1, win 58, options [nop,nop,TS val 27729928 ecr 27729928], length 2896
17:41:19.661351 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 263536:266432, ack 1, win 58, options [nop,nop,TS val 27729929 ecr 27729928], length 2896
17:41:19.663773 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 266432:269328, ack 1, win 58, options [nop,nop,TS val 27729930 ecr 27729929], length 2896
17:41:19.666196 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 269328:272224, ack 1, win 58, options [nop,nop,TS val 27729930 ecr 27729930], length 2896
17:41:19.668618 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 272224:275120, ack 1, win 58, options [nop,nop,TS val 27729931 ecr 27729930], length 2896
17:41:19.671041 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 275120:278016, ack 1, win 58, options [nop,nop,TS val 27729932 ecr 27729931], length 2896
17:41:19.673463 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 278016:280912, ack 1, win 58, options [nop,nop,TS val 27729932 ecr 27729932], length 2896
17:41:19.675885 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 280912:283808, ack 1, win 58, options [nop,nop,TS val 27729933 ecr 27729932], length 2896
17:41:19.678307 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 283808:286704, ack 1, win 58, options [nop,nop,TS val 27729933 ecr 27729933], length 2896
17:41:19.680730 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 286704:289600, ack 1, win 58, options [nop,nop,TS val 27729934 ecr 27729933], length 2896
17:41:19.683152 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 289600:292496, ack 1, win 58, options [nop,nop,TS val 27729935 ecr 27729934], length 2896
17:41:19.685575 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 292496:295392, ack 1, win 58, options [nop,nop,TS val 27729935 ecr 27729935], length 2896
17:41:19.687997 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 295392:298288, ack 1, win 58, options [nop,nop,TS val 27729936 ecr 27729935], length 2896
17:41:19.690420 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 298288:301184, ack 1, win 58, options [nop,nop,TS val 27729936 ecr 27729936], length 2896
17:41:19.692842 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 301184:304080, ack 1, win 58, options [nop,nop,TS val 27729937 ecr 27729936], length 2896
17:41:19.695265 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 304080:306976, ack 1, win 58, options [nop,nop,TS val 27729938 ecr 27729937], length 2896
17:41:19.697687 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 306976:309872, ack 1, win 58, options [nop,nop,TS val 27729938 ecr 27729938], length 2896
17:41:19.700109 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 309872:312768, ack 1, win 58, options [nop,nop,TS val 27729939 ecr 27729938], length 2896
17:41:19.702532 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 312768:315664, ack 1, win 58, options [nop,nop,TS val 27729939 ecr 27729939], length 2896
17:41:19.704954 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 315664:318560, ack 1, win 58, options [nop,nop,TS val 27729940 ecr 27729939], length 2896
17:41:19.707377 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 318560:321456, ack 1, win 58, options [nop,nop,TS val 27729941 ecr 27729940], length 2896
17:41:19.709799 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 321456:324352, ack 1, win 58, options [nop,nop,TS val 27729941 ecr 27729941], length 2896
17:41:19.712221 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 324352:327248, ack 1, win 58, options [nop,nop,TS val 27729942 ecr 27729941], length 2896
17:41:19.714644 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 327248:330144, ack 1, win 58, options [nop,nop,TS val 27729942 ecr 27729942], length 2896
17:41:19.717066 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 330144:333040, ack 1, win 58, options [nop,nop,TS val 27729943 ecr 27729942], length 2896
17:41:19.719488 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 333040:335936, ack 1, win 58, options [nop,nop,TS val 27729944 ecr 27729943], length 2896
17:41:19.721911 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 335936:338832, ack 1, win 58, options [nop,nop,TS val 27729944 ecr 27729944], length 2896
17:41:19.724333 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 338832:341728, ack 1, win 58, options [nop,nop,TS val 27729945 ecr 27729944], length 2896
17:41:19.726756 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 341728:344624, ack 1, win 58, options [nop,nop,TS val 27729945 ecr 27729945], length 2896
17:41:19.729178 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 344624:347520, ack 1, win 58, options [nop,nop,TS val 27729946 ecr 27729945], length 2896
17:41:19.731600 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 347520:350416, ack 1, win 58, options [nop,nop,TS val 27729947 ecr 27729946], length 2896
17:41:19.734023 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 350416:353312, ack 1, win 58, options [nop,nop,TS val 27729947 ecr 27729947], length 2896
17:41:19.736445 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 353312:356208, ack 1, win 58, options [nop,nop,TS val 27729948 ecr 27729947], length 2896
17:41:19.738867 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 356208:359104, ack 1, win 58, options [nop,nop,TS val 27729948 ecr 27729948], length 2896
17:41:19.741290 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 359104:362000, ack 1, win 58, options [nop,nop,TS val 27729949 ecr 27729948], length 2896
17:41:19.743713 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 362000:364896, ack 1, win 58, options [nop,nop,TS val 27729950 ecr 27729949], length 2896
17:41:19.746135 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 364896:367792, ack 1, win 58, options [nop,nop,TS val 27729950 ecr 27729950], length 2896
17:41:19.748557 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 367792:370688, ack 1, win 58, options [nop,nop,TS val 27729951 ecr 27729950], length 2896
17:41:19.750980 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 370688:373584, ack 1, win 58, options [nop,nop,TS val 27729952 ecr 27729951], length 2896
17:41:19.753402 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 373584:376480, ack 1, win 58, options [nop,nop,TS val 27729952 ecr 27729952], length 2896
17:41:19.755825 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 376480:379376, ack 1, win 58, options [nop,nop,TS val 27729953 ecr 27729952], length 2896
17:41:19.758247 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 379376:382272, ack 1, win 58, options [nop,nop,TS val 27729953 ecr 27729953], length 2896
17:41:19.760669 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 382272:385168, ack 1, win 58, options [nop,nop,TS val 27729954 ecr 27729953], length 2896
17:41:19.763092 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 385168:388064, ack 1, win 58, options [nop,nop,TS val 27729955 ecr 27729954], length 2896
17:41:19.765514 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 388064:390960, ack 1, win 58, options [nop,nop,TS val 27729955 ecr 27729955], length 2896
17:41:19.767936 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 390960:393856, ack 1, win 58, options [nop,nop,TS val 27729956 ecr 27729955], length 2896
17:41:19.770359 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 393856:396752, ack 1, win 58, options [nop,nop,TS val 27729956 ecr 27729956], length 2896
17:41:19.772781 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 396752:399648, ack 1, win 58, options [nop,nop,TS val 27729957 ecr 27729956], length 2896
17:41:19.775204 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 399648:402544, ack 1, win 58, options [nop,nop,TS val 27729958 ecr 27729957], length 2896
17:41:19.777626 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 402544:405440, ack 1, win 58, options [nop,nop,TS val 27729958 ecr 27729958], length 2896
17:41:19.780048 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 405440:408336, ack 1, win 58, options [nop,nop,TS val 27729959 ecr 27729958], length 2896
17:41:19.782471 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 408336:411232, ack 1, win 58, options [nop,nop,TS val 27729959 ecr 27729959], length 2896
17:41:19.784893 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 411232:414128, ack 1, win 58, options [nop,nop,TS val 27729960 ecr 27729959], length 2896
17:41:19.787316 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 414128:417024, ack 1, win 58, options [nop,nop,TS val 27729961 ecr 27729960], length 2896
17:41:19.789738 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 417024:419920, ack 1, win 58, options [nop,nop,TS val 27729961 ecr 27729961], length 2896
17:41:19.792161 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [P.], seq 419920:422816, ack 1, win 58, options [nop,nop,TS val 27729962 ecr 27729961], length 2896
17:41:19.794583 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 422816:425712, ack 1, win 58, options [nop,nop,TS val 27729962 ecr 27729962], length 2896
17:41:19.797005 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 425712:428608, ack 1, win 58, options [nop,nop,TS val 27729963 ecr 27729962], length 2896
17:41:19.799428 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 428608:431504, ack 1, win 58, options [nop,nop,TS val 27729964 ecr 27729963], length 2896
17:41:19.801850 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 431504:434400, ack 1, win 58, options [nop,nop,TS val 27729964 ecr 27729964], length 2896
17:41:19.804273 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 434400:437296, ack 1, win 58, options [nop,nop,TS val 27729965 ecr 27729964], length 2896
17:41:19.806695 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 437296:440192, ack 1, win 58, options [nop,nop,TS val 27729965 ecr 27729965], length 2896
17:41:19.809117 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 440192:443088, ack 1, win 58, options [nop,nop,TS val 27729966 ecr 27729965], length 2896
17:41:19.811540 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 443088:445984, ack 1, win 58, options [nop,nop,TS val 27729967 ecr 27729966], length 2896
17:41:19.813962 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 445984:448880, ack 1, win 58, options [nop,nop,TS val 27729967 ecr 27729967], length 2896
17:41:19.816384 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 448880:451776, ack 1, win 58, options [nop,nop,TS val 27729968 ecr 27729967], length 2896
17:41:19.818807 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 451776:454672, ack 1, win 58, options [nop,nop,TS val 27729968 ecr 27729968], length 2896
